Timestamp,Sales
2022-01-01,41
2022-01-02,34
2022-01-03,14
2022-01-04,76
2022-01-05,37
2022-01-06,96
2022-01-07,63
2022-01-08,90
2022-01-09,71
2022-01-10,29
2022-01-11,95
2022-01-12,12
2022-01-13,74
2022-01-14,87
2022-01-15,22
2022-01-16,73
2022-01-17,46
2022-01-18,27
2022-01-19,61
2022-01-20,61
2022-01-21,42
2022-01-22,100
2022-01-23,95
2022-01-24,97
2022-01-25,89
2022-01-26,37
2022-01-27,92
2022-01-28,52
2022-01-29,73
2022-01-30,80
2022-01-31,50
2022-02-01,63
2022-02-02,89
2022-02-03,70
2022-02-04,26
2022-02-05,99
2022-02-06,38
2022-02-07,82
2022-02-08,17
2022-02-09,50
2022-02-10,55
2022-02-11,31
2022-02-12,78
2022-02-13,60
2022-02-14,76
2022-02-15,90
2022-02-16,18
2022-02-17,79
2022-02-18,23
2022-02-19,100
2022-02-20,47
2022-02-21,37
2022-02-22,98
2022-02-23,29
2022-02-24,70
2022-02-25,38
2022-02-26,92
2022-02-27,68
2022-02-28,39
2022-03-01,98
2022-03-02,14
2022-03-03,94
2022-03-04,84
2022-03-05,40
2022-03-06,13
2022-03-07,46
2022-03-08,35
2022-03-09,16
2022-03-10,47
2022-03-11,66
2022-03-12,95
2022-03-13,27
2022-03-14,17
2022-03-15,43
2022-03-16,39
2022-03-17,57
2022-03-18,76
2022-03-19,35
2022-03-20,43
2022-03-21,90
2022-03-22,66
2022-03-23,42
2022-03-24,74
2022-03-25,98
2022-03-26,41
2022-03-27,24
2022-03-28,69
2022-03-29,91
2022-03-30,41
2022-03-31,72
2022-04-01,23
2022-04-02,73
2022-04-03,94
2022-04-04,64
2022-04-05,98
2022-04-06,94
2022-04-07,49
2022-04-08,73
2022-04-09,67
2022-04-10,78
2022-04-11,18
2022-04-12,61
2022-04-13,25
2022-04-14,63
2022-04-15,68
2022-04-16,88
2022-04-17,97
2022-04-18,41
2022-04-19,60
2022-04-20,53
2022-04-21,69
2022-04-22,98
2022-04-23,10
2022-04-24,73
2022-04-25,17
2022-04-26,70
2022-04-27,69
2022-04-28,56
2022-04-29,53
2022-04-30,63
2022-05-01,33
2022-05-02,56
2022-05-03,99
2022-05-04,47
2022-05-05,11
2022-05-06,31
2022-05-07,50
2022-05-08,47
2022-05-09,43
2022-05-10,82
2022-05-11,45
2022-05-12,74
2022-05-13,61
2022-05-14,84
2022-05-15,81
2022-05-16,92
2022-05-17,35
2022-05-18,69
2022-05-19,54
2022-05-20,33
2022-05-21,24
2022-05-22,94
2022-05-23,12
2022-05-24,83
2022-05-25,61
2022-05-26,76
2022-05-27,27
2022-05-28,67
2022-05-29,65
2022-05-30,68
2022-05-31,33
2022-06-01,97
2022-06-02,30
2022-06-03,60
2022-06-04,12
2022-06-05,74
2022-06-06,56
2022-06-07,73
2022-06-08,70
2022-06-09,45
2022-06-10,74
2022-06-11,36
2022-06-12,38
2022-06-13,22
2022-06-14,67
2022-06-15,37
2022-06-16,65
2022-06-17,65
2022-06-18,92
2022-06-19,47
2022-06-20,82
2022-06-21,17
